year month day precipitation_mswep
1981 07 08 0.000
1981 07 09 0.000
1981 07 10 0.000
1981 07 11 0.000
1981 07 12 0.000
1981 07 13 0.000
1981 07 14 0.000
1981 07 15 0.000
1981 07 16 0.000
1981 07 17 0.000
1981 07 18 0.000
1981 07 19 0.000
1981 07 20 0.000
1981 07 21 0.000
1981 07 22 0.000
1981 07 23 0.000
1981 07 24 0.000
1981 07 25 0.000
1981 07 26 0.000
1981 07 27 0.000
1981 07 28 0.000
1981 07 29 0.000
1981 07 30 0.000
1981 07 31 0.000
1981 08 01 0.000
1981 08 02 0.000
1981 08 03 0.000
1981 08 04 0.000
1981 08 05 0.000
1981 08 06 0.000
1981 08 07 0.000
1981 08 08 0.000
1981 08 09 0.000
1981 08 10 0.000
1981 08 11 0.000
1981 08 12 0.000
1981 08 13 0.000
1981 08 14 0.000
1981 08 15 0.000
1981 08 16 0.000
1981 08 17 0.000
1981 08 18 0.000
1981 08 19 0.000
1981 08 20 0.000
1981 08 21 0.000
1981 08 22 0.000
1981 08 23 0.000
1981 08 24 0.000
1981 08 25 0.000
1981 08 26 0.000
1981 08 27 0.000
1981 08 28 0.000
1981 08 29 0.000
1981 08 30 0.000
1981 08 31 0.000
1981 09 01 0.000
1981 09 02 0.000
1981 09 03 0.000
1981 09 04 0.194
1981 09 05 0.000
1981 09 06 0.000
1981 09 07 0.000
1981 09 08 0.000
1981 09 09 0.000
1981 09 10 0.000
1981 09 11 0.000
1981 09 12 0.000
1981 09 13 0.000
1981 09 14 0.000
1981 09 15 0.000
1981 09 16 0.000
1981 09 17 0.000
1981 09 18 0.000
1981 09 19 0.000
1981 09 20 0.000
1981 09 21 0.000
1981 09 22 0.007
1981 09 23 0.000
1981 09 24 0.000
1981 09 25 0.000
1981 09 26 0.000
1981 09 27 0.033
1981 09 28 1.281
1981 09 29 0.867
1981 09 30 1.207
1981 10 01 0.704
1981 10 02 0.623
1981 10 03 11.048
1981 10 04 2.687
1981 10 05 0.152
1981 10 06 3.400
1981 10 07 6.105
1981 10 08 14.304
1981 10 09 0.000
1981 10 10 0.882
1981 10 11 3.780
1981 10 12 7.969
1981 10 13 4.985
1981 10 14 4.110
1981 10 15 5.913
1981 10 16 29.899
1981 10 17 0.000
1981 10 18 0.814
1981 10 19 4.847
1981 10 20 2.419
1981 10 21 0.000
1981 10 22 0.000
1981 10 23 0.000
1981 10 24 3.047
1981 10 25 7.037
1981 10 26 1.888
1981 10 27 51.284
1981 10 28 2.751
1981 10 29 7.256
1981 10 30 15.882
1981 10 31 12.909
1981 11 01 4.449
1981 11 02 2.104
1981 11 03 0.478
1981 11 04 12.129
1981 11 05 6.140
1981 11 06 4.835
1981 11 07 3.280
1981 11 08 35.908
1981 11 09 12.602
1981 11 10 22.341
1981 11 11 11.410
1981 11 12 14.867
1981 11 13 15.667
1981 11 14 15.093
1981 11 15 3.783
1981 11 16 0.207
1981 11 17 0.016
1981 11 18 0.335
1981 11 19 18.818
1981 11 20 60.244
1981 11 21 10.659
1981 11 22 0.007
1981 11 23 0.032
1981 11 24 1.865
1981 11 25 5.048
1981 11 26 1.275
1981 11 27 0.000
1981 11 28 0.000
1981 11 29 0.463
1981 11 30 16.309
1981 12 01 0.036
1981 12 02 24.512
1981 12 03 14.052
1981 12 04 19.083
1981 12 05 12.919
1981 12 06 0.435
1981 12 07 4.113
1981 12 08 20.363
1981 12 09 52.072
1981 12 10 7.499
1981 12 11 9.457
1981 12 12 5.855
1981 12 13 0.640
1981 12 14 0.643
1981 12 15 0.050
1981 12 16 21.275
1981 12 17 22.984
1981 12 18 1.028
1981 12 19 3.073
1981 12 20 0.000
1981 12 21 0.627
1981 12 22 0.333
1981 12 23 3.667
1981 12 24 6.095
1981 12 25 5.638
1981 12 26 9.884
1981 12 27 1.134
1981 12 28 10.067
1981 12 29 0.812
1981 12 30 0.274
1981 12 31 2.643
1982 01 01 5.063
1982 01 02 21.892
1982 01 03 48.425
1982 01 04 1.797
1982 01 05 0.656
1982 01 06 0.462
1982 01 07 31.326
