year month day potential_evapotransp_gleam
1982 07 06 0.571
1982 07 07 0.647
1982 07 08 0.639
1982 07 09 0.861
1982 07 10 0.714
1982 07 11 0.891
1982 07 12 0.579
1982 07 13 0.733
1982 07 14 0.769
1982 07 15 0.854
1982 07 16 0.148
1982 07 17 0.595
1982 07 18 1.438
1982 07 19 1.144
1982 07 20 1.131
1982 07 21 1.221
1982 07 22 0.125
1982 07 23 0.689
1982 07 24 0.268
1982 07 25 1.793
1982 07 26 1.296
1982 07 27 1.201
1982 07 28 0.684
1982 07 29 0.651
1982 07 30 1.035
1982 07 31 0.895
1982 08 01 0.289
1982 08 02 0.306
1982 08 03 0.980
1982 08 04 1.318
1982 08 05 1.237
1982 08 06 0.685
1982 08 07 0.202
1982 08 08 0.321
1982 08 09 0.386
1982 08 10 1.357
1982 08 11 1.287
1982 08 12 1.420
1982 08 13 1.673
1982 08 14 0.607
1982 08 15 0.666
1982 08 16 1.412
1982 08 17 0.922
1982 08 18 0.979
1982 08 19 1.451
1982 08 20 1.610
1982 08 21 1.518
1982 08 22 1.662
1982 08 23 0.894
1982 08 24 2.343
1982 08 25 1.878
1982 08 26 1.699
1982 08 27 0.792
1982 08 28 2.740
1982 08 29 1.492
1982 08 30 0.611
1982 08 31 2.303
1982 09 01 1.842
1982 09 02 2.314
1982 09 03 2.608
1982 09 04 2.842
1982 09 05 2.159
1982 09 06 2.029
1982 09 07 2.237
1982 09 08 2.521
1982 09 09 2.558
1982 09 10 2.699
1982 09 11 1.305
1982 09 12 1.364
1982 09 13 2.702
1982 09 14 2.816
1982 09 15 3.008
1982 09 16 3.499
1982 09 17 1.043
1982 09 18 0.378
1982 09 19 0.965
1982 09 20 2.259
1982 09 21 1.306
1982 09 22 1.792
1982 09 23 1.858
1982 09 24 1.718
1982 09 25 1.488
1982 09 26 0.793
1982 09 27 0.693
1982 09 28 1.609
1982 09 29 1.571
1982 09 30 2.357
1982 10 01 0.995
1982 10 02 2.608
1982 10 03 2.930
1982 10 04 3.249
1982 10 05 3.513
1982 10 06 2.836
1982 10 07 2.676
1982 10 08 2.520
1982 10 09 3.280
1982 10 10 2.854
1982 10 11 3.512
1982 10 12 1.761
1982 10 13 2.653
