gauge_id crop_perc crop_mosaic_perc forest_perc shrub_perc grass_perc barren_perc imperv_perc wet_perc snow_perc dom_land_cover dom_land_cover_perc
33620000 0.98740 25.43600 60.95090 12.24320 0.00000 0.00000 0.00000 0.38250 0.00000 forest 60.95090
33630000 1.30660 22.05590 53.98450 22.38660 0.04890 0.00300 0.00190 0.21250 0.00000 forest 53.98450
33680000 1.15200 22.62010 53.33940 22.63930 0.04360 0.00300 0.00170 0.20100 0.00000 forest 53.33940
33730000 0.02020 15.53520 73.77340 10.65560 0.00000 0.00670 0.00000 0.00900 0.00000 forest 73.77340
33760000 0.12640 41.98640 43.09330 14.58150 0.00480 0.20760 0.00000 0.00000 0.00000 forest 43.09330
33780000 0.05190 23.96470 62.06420 13.80490 0.00460 0.07070 0.00000 0.03910 0.00000 forest 62.06420
34020000 3.89810 37.14440 15.99960 42.85810 0.03250 0.06510 0.00000 0.00220 0.00000 shrub 42.85810
34060000 5.47360 24.80000 28.87670 40.66570 0.09310 0.08980 0.00000 0.00120 0.00000 shrub 40.66570
34070000 5.39340 25.39140 27.53290 41.49440 0.10270 0.08410 0.00000 0.00110 0.00000 shrub 41.49440
34090000 2.41950 20.26190 23.29210 53.74160 0.21920 0.06440 0.00000 0.00120 0.00000 shrub 53.74160
34130000 10.27550 17.18820 21.21760 51.21820 0.02620 0.07430 0.00000 0.00000 0.00000 shrub 51.21820
34170000 7.53310 34.61640 14.48960 43.29430 0.01820 0.03960 0.00610 0.00270 0.00000 shrub 43.29430
34251000 0.88810 57.99220 17.52480 23.41220 0.03680 0.02930 0.00000 0.11670 0.00000 crop_mosaic 57.99220
34311000 3.44470 38.29800 20.34230 37.51220 0.08830 0.04620 0.00180 0.26660 0.00000 crop_mosaic 38.29800
34571000 2.83160 42.21360 12.32350 42.52020 0.04760 0.00570 0.00000 0.05790 0.00000 shrub 42.52020
34660000 3.51480 39.98040 17.80390 38.36760 0.07450 0.03520 0.00120 0.22240 0.00000 crop_mosaic 39.98040
34690000 3.48740 39.89140 18.09140 38.18370 0.07460 0.03540 0.00360 0.23250 0.00000 crop_mosaic 39.89140
