gauge_id geol_class_1st geol_class_1st_perc geol_class_2nd geol_class_2nd_perc carb_rocks_perc geol_porosity geol_permeability
35740000 metamorphics 83.31000 acid_plutonic_rocks 16.69000 0.00000 0.01000 -14.10000
35830000 metamorphics 93.68000 acid_plutonic_rocks 6.07000 0.00000 0.01060 -14.09030
36020000 metamorphics 73.31000 acid_plutonic_rocks 23.39000 0.00000 0.01310 -14.07420
36045000 metamorphics 50.05000 acid_plutonic_rocks 23.44000 0.00000 0.06000 -13.41710
36125000 acid_plutonic_rocks 53.16000 metamorphics 13.76000 2.37000 0.05560 -13.50100
36130000 acid_plutonic_rocks 38.25000 metamorphics 28.71000 5.86000 0.04940 -13.58090
36160000 metamorphics 52.81000 acid_plutonic_rocks 26.77000 1.92000 0.04090 -13.77520
36210000 mixed_sedimentary_rocks 27.31000 metamorphics 20.72000 11.29000 0.13120 -13.30270
36250000 siliciclastic_sedimentary_rocks 45.77000 metamorphics 21.00000 18.95000 0.11290 -13.18860
36290000 metamorphics 45.24000 siliciclastic_sedimentary_rocks 21.48000 9.60000 0.07540 -13.61200
36320000 metamorphics 51.45000 acid_plutonic_rocks 20.94000 4.05000 0.05240 -13.73620
36390000 metamorphics 54.47000 acid_plutonic_rocks 20.45000 3.31000 0.04910 -13.78630
36580000 metamorphics 78.42000 acid_plutonic_rocks 19.08000 0.00000 0.01370 -14.04370
37220000 metamorphics 59.96000 acid_plutonic_rocks 38.47000 0.00000 0.01370 -14.07980
37380000 metamorphics 70.51000 acid_plutonic_rocks 24.25000 0.00000 0.01780 -13.99620
37410000 metamorphics 55.34000 acid_plutonic_rocks 32.13000 0.00000 0.03490 -13.87820
37470000 metamorphics 49.04000 acid_plutonic_rocks 40.76000 0.00000 0.02950 -13.90980
37710150 metamorphics 57.08000 acid_plutonic_rocks 34.28000 0.32000 0.02580 -13.91970
38650000 metamorphics 78.99000 acid_plutonic_rocks 16.11000 0.00000 0.01820 -13.92410
38790000 metamorphics 73.68000 acid_plutonic_rocks 22.88000 0.00000 0.01680 -13.98960
38830000 metamorphics 81.40000 acid_plutonic_rocks 10.91000 0.00000 0.01000 -14.10000
38860000 metamorphics 81.98000 acid_plutonic_rocks 13.90000 0.00000 0.01140 -14.07190
