gauge_id q_mean runoff_ratio stream_elas slope_fdc baseflow_index hfd_mean Q5 Q95 high_q_freq high_q_dur low_q_freq low_q_dur zero_q_freq
31600000 2.75320 0.41303 0.97508 1.26980 0.86951 210.58824 1.31200 4.96530 0.00000 0.00000 0.51278 3.33333 0.00000
31680000 1.51008 0.26964 1.23009 1.52174 0.85685 218.25000 0.59000 3.30630 0.00000 0.00000 0.00000 0.00000 0.00000
31700000 1.55462 0.27319 1.03446 1.42132 0.87159 219.65000 0.66960 3.10230 0.00000 0.00000 0.00000 0.00000 0.00000
32400000 2.56306 0.41890 0.72172 4.73828 0.64657 224.57895 0.16330 8.98990 9.80098 3.75000 119.62227 22.66667 0.00000
32550000 1.32846 0.25726 0.84879 1.87331 0.79267 220.85000 0.48830 3.44590 0.00000 0.00000 0.00000 0.00000 0.00000
32620000 1.25210 0.25760 1.44783 3.18407 0.74982 224.95000 0.30810 3.70994 0.40000 8.00000 0.85000 17.00000 0.00000
32830000 2.01513 0.36818 1.26550 5.23807 0.65865 228.57895 0.06210 7.41315 8.76479 10.87500 128.34878 60.66667 0.00000
33025000 0.36527 0.09918 2.49699 3.11949 0.74221 205.53333 0.04520 1.24870 3.40718 9.28571 54.46251 45.17391 0.00000
33170000 0.34089 0.09450 2.01853 3.46283 0.58929 212.61111 0.03730 1.35980 28.53914 6.29213 104.98326 25.75000 0.00000
33190000 0.53492 0.13353 1.23908 4.39669 0.69625 224.25000 0.07050 1.89090 8.05000 16.10000 95.75000 37.54902 0.00000
33205000 0.58022 0.18977 0.79434 1.15288 0.77593 192.40000 0.28230 1.44860 0.15000 3.00000 0.00000 0.00000 0.00000
33215000 0.62477 0.21545 -0.24007 0.54175 0.93557 191.50000 0.43990 0.90250 0.00000 0.00000 0.00000 0.00000 0.00000
33250000 0.36274 0.12146 0.31389 0.71333 0.87359 194.25000 0.21920 0.66230 0.00000 0.00000 0.00000 0.00000 0.00000
33260000 0.31240 0.10332 0.57800 0.67796 0.86312 196.40000 0.18940 0.63100 0.00000 0.00000 0.00000 0.00000 0.00000
33270000 0.11534 0.03548 1.14231 2.33116 nan 198.66667 0.01110 0.33890 5.88520 3.61290 57.27557 45.41667 0.00000
33281000 0.31074 0.09653 1.05834 1.02686 0.78875 200.95000 0.14010 0.84696 1.45000 4.83333 0.00000 0.00000 0.00000
33286000 0.33869 0.10310 1.28019 1.36329 0.76598 206.30000 0.12930 1.00910 1.95000 6.50000 0.00000 0.00000 0.00000
33290000 0.34956 0.10594 1.32632 1.41377 0.76436 210.30000 0.13150 1.05726 1.70000 17.00000 0.00000 0.00000 0.00000
33321000 0.40363 0.12449 2.37956 2.80964 0.51791 194.16667 0.04960 1.59790 22.40952 4.12037 88.53019 24.41667 0.00000
33330000 0.36038 0.10700 3.16453 3.47225 0.44778 197.11111 0.02330 1.67020 55.01183 13.83333 193.22969 74.31373 0.00000
33380000 0.42410 0.11888 1.84014 5.08194 0.59607 220.29412 0.01780 1.97260 59.12582 27.75610 166.51867 128.20000 0.00000
33450000 0.47346 0.15880 -0.11120 0.54063 0.94990 189.30000 0.35800 0.63890 0.00000 0.00000 0.00000 0.00000 0.00000
33460000 0.39381 0.13026 -0.10119 0.43266 0.94055 189.70000 0.30240 0.55120 0.00000 0.00000 0.00000 0.00000 0.00000
33480000 0.30700 0.10279 0.04835 0.71332 0.90937 191.95000 0.19250 0.51118 0.00000 0.00000 0.00000 0.00000 0.00000
33520000 0.09106 0.02799 2.56565 1.91980 0.51036 201.95000 0.01120 0.40350 33.30000 12.10909 84.85000 41.39024 0.00000
33530000 0.18901 0.05970 0.61772 0.78744 0.85927 199.40000 0.11190 0.38390 0.10000 2.00000 0.00000 0.00000 0.00000
33550000 0.18114 0.05561 0.83129 0.94385 0.81995 200.85000 0.09540 0.44496 0.35000 3.50000 0.00000 0.00000 0.00000
33620000 0.57196 0.13053 2.25775 5.10975 0.52362 217.46667 0.00670 3.10330 79.59380 23.61538 208.65503 56.67606 0.00000
33630000 0.29658 0.08485 1.60268 1.98059 0.65873 211.60000 0.07530 1.15278 16.40000 5.12500 0.00000 0.00000 0.00000
