year month day precipitation_cpc
1981 10 30 26.540
1981 10 31 17.125
1981 11 01 2.427
1981 11 02 3.605
1981 11 03 3.848
1981 11 04 4.922
1981 11 05 8.290
1981 11 06 4.506
1981 11 07 0.189
1981 11 08 0.038
1981 11 09 1.530
1981 11 10 1.296
1981 11 11 11.811
1981 11 12 52.835
1981 11 13 23.031
1981 11 14 42.424
1981 11 15 30.125
1981 11 16 11.500
1981 11 17 19.973
1981 11 18 8.983
1981 11 19 3.135
1981 11 20 1.492
1981 11 21 23.089
1981 11 22 31.639
1981 11 23 13.571
1981 11 24 7.758
1981 11 25 11.679
1981 11 26 31.868
1981 11 27 20.033
1981 11 28 4.568
1981 11 29 0.363
1981 11 30 0.485
1981 12 01 3.515
1981 12 02 3.608
1981 12 03 22.827
1981 12 04 7.652
1981 12 05 0.535
1981 12 06 0.021
1981 12 07 0.038
1981 12 08 6.473
1981 12 09 8.526
1981 12 10 0.633
1981 12 11 5.809
1981 12 12 0.070
1981 12 13 0.536
1981 12 14 0.043
1981 12 15 0.103
1981 12 16 0.169
1981 12 17 12.750
1981 12 18 2.428
1981 12 19 0.363
1981 12 20 0.071
1981 12 21 0.888
1981 12 22 0.000
1981 12 23 0.532
1981 12 24 1.120
1981 12 25 9.247
1981 12 26 5.924
1981 12 27 6.236
1981 12 28 23.240
1981 12 29 11.790
1981 12 30 7.017
1981 12 31 4.109
1982 01 01 4.029
1982 01 02 2.948
1982 01 03 2.828
1982 01 04 18.931
1982 01 05 48.771
1982 01 06 7.611
1982 01 07 3.572
1982 01 08 2.150
1982 01 09 0.299
1982 01 10 1.492
1982 01 11 0.152
1982 01 12 5.764
1982 01 13 29.173
1982 01 14 13.604
1982 01 15 9.259
1982 01 16 31.937
1982 01 17 5.353
1982 01 18 1.997
1982 01 19 4.311
1982 01 20 5.244
1982 01 21 5.659
1982 01 22 0.383
1982 01 23 0.188
1982 01 24 0.424
1982 01 25 4.099
1982 01 26 4.572
1982 01 27 6.046
1982 01 28 5.629
1982 01 29 6.122
1982 01 30 5.636
1982 01 31 3.463
1982 02 01 7.243
1982 02 02 7.136
1982 02 03 0.240
1982 02 04 0.407
1982 02 05 0.031
1982 02 06 0.141
1982 02 07 0.079
1982 02 08 0.201
1982 02 09 1.073
1982 02 10 2.611
1982 02 11 0.467
1982 02 12 0.313
1982 02 13 0.328
1982 02 14 0.202
1982 02 15 0.531
1982 02 16 1.318
1982 02 17 2.633
1982 02 18 3.175
1982 02 19 2.605
1982 02 20 7.771
1982 02 21 0.124
1982 02 22 0.301
1982 02 23 0.166
1982 02 24 0.855
1982 02 25 0.226
1982 02 26 1.982
1982 02 27 0.677
1982 02 28 0.261
1982 03 01 5.459
1982 03 02 4.518
1982 03 03 25.365
1982 03 04 8.391
1982 03 05 3.261
1982 03 06 1.586
1982 03 07 3.081
1982 03 08 8.881
1982 03 09 1.742
1982 03 10 0.078
1982 03 11 0.457
1982 03 12 5.852
1982 03 13 28.987
1982 03 14 30.545
1982 03 15 2.663
1982 03 16 2.154
1982 03 17 15.669
1982 03 18 17.026
1982 03 19 10.054
1982 03 20 26.600
1982 03 21 24.419
1982 03 22 3.126
1982 03 23 14.218
1982 03 24 7.343
1982 03 25 21.622
1982 03 26 1.652
1982 03 27 1.037
1982 03 28 0.000
1982 03 29 0.061
1982 03 30 0.044
1982 03 31 0.057
1982 04 01 0.939
1982 04 02 3.480
1982 04 03 7.103
1982 04 04 5.719
1982 04 05 4.437
1982 04 06 15.167
1982 04 07 9.468
1982 04 08 4.001
1982 04 09 5.168
1982 04 10 6.334
1982 04 11 1.314
1982 04 12 0.714
1982 04 13 0.483
1982 04 14 0.772
1982 04 15 5.091
1982 04 16 16.856
1982 04 17 3.309
1982 04 18 1.271
1982 04 19 2.614
1982 04 20 2.381
1982 04 21 0.011
1982 04 22 0.014
1982 04 23 0.078
1982 04 24 0.806
1982 04 25 0.138
1982 04 26 0.000
1982 04 27 0.166
1982 04 28 0.361
1982 04 29 9.785
1982 04 30 1.932
1982 05 01 2.253
1982 05 02 8.906
1982 05 03 0.172
1982 05 04 0.231
1982 05 05 1.455
1982 05 06 0.539
1982 05 07 1.555
1982 05 08 1.485
1982 05 09 0.759
1982 05 10 0.041
1982 05 11 0.110
1982 05 12 1.364
1982 05 13 3.052
1982 05 14 0.013
1982 05 15 0.309
1982 05 16 0.000
1982 05 17 0.967
1982 05 18 0.346
1982 05 19 0.040
1982 05 20 0.888
1982 05 21 0.608
1982 05 22 1.495
1982 05 23 7.079
1982 05 24 1.957
1982 05 25 0.192
1982 05 26 4.260
1982 05 27 2.370
1982 05 28 3.106
1982 05 29 0.189
1982 05 30 0.652
1982 05 31 1.597
1982 06 01 0.059
1982 06 02 0.725
1982 06 03 4.300
1982 06 04 0.435
1982 06 05 0.271
1982 06 06 0.000
1982 06 07 0.000
1982 06 08 0.768
1982 06 09 0.000
1982 06 10 0.000
1982 06 11 0.000
1982 06 12 0.079
1982 06 13 0.012
1982 06 14 0.000
1982 06 15 0.000
1982 06 16 0.208
1982 06 17 0.593
1982 06 18 0.299
1982 06 19 0.000
