gauge_id p_mean pet_mean et_mean aridity p_seasonality asynchronicity frac_snow high_prec_freq high_prec_dur high_prec_timing low_prec_freq low_prec_dur low_prec_timing
34660000 2.60177 3.47469 2.09622 1.33551 -0.27033 0.30469 0.00000 14.40000 1.23077 djf 214.60000 8.11342 jja
34690000 2.61107 3.47640 2.10537 1.33141 -0.27841 0.30551 0.00000 14.40000 1.23077 djf 213.90000 8.11765 jja
34730000 2.44986 3.63429 1.86876 1.48347 -0.96696 0.41785 0.00000 21.85000 1.45667 mam 261.70000 7.59652 son
34750000 2.00638 3.47846 1.69460 1.73369 -0.73836 0.40888 0.00000 22.60000 1.60854 mam 261.10000 8.82095 son
34770000 2.31795 3.49248 1.79183 1.50671 -0.71625 0.39075 0.00000 20.10000 1.50562 mam 241.90000 7.85390 jja
34789000 2.48879 3.50707 1.88070 1.40915 -0.74346 0.38634 0.00000 19.35000 1.43866 mam 235.90000 7.51274 jja
34879500 2.64138 3.48636 2.09222 1.31990 -0.37568 0.32157 0.00000 12.30000 1.21782 djf 203.85000 8.00982 jja
34930000 3.60435 3.62106 2.29135 1.00464 -0.85625 0.39660 0.00000 18.95000 1.32056 mam 229.85000 6.32325 jja
34940000 3.86248 3.66569 2.46497 0.94905 -0.91368 0.39500 0.00000 16.00000 1.26482 mam 218.10000 6.31259 jja
34980000 3.56987 3.66128 2.34842 1.02561 -0.91866 0.39859 0.00000 14.35000 1.28125 mam 214.05000 6.78447 son
35235000 2.24844 3.46744 1.69850 1.54216 -0.98146 0.42210 0.00000 24.15000 1.50467 mam 266.00000 8.58065 son
35240000 1.98393 3.55019 1.40755 1.78947 -0.87216 0.41700 0.00000 25.00000 1.63934 mam 275.25000 9.15973 son
35258000 1.68126 3.55230 1.52722 2.11288 -0.83670 0.40805 0.00000 25.25000 1.66118 mam 279.45000 9.22277 son
35260000 1.74680 3.55230 1.52722 2.03360 -0.87340 0.40864 0.00000 24.75000 1.61765 mam 275.20000 9.06755 son
35263000 3.12923 3.55394 2.08410 1.13572 -0.97754 0.41650 0.00000 23.05000 1.40979 mam 260.00000 7.35502 son
35740000 3.52747 3.53146 2.26491 1.00113 -0.40749 0.35100 0.00000 25.30000 1.35294 mam 272.10000 6.05339 son
35830000 1.96297 3.50269 1.70856 1.78439 -0.68382 0.38150 0.00000 25.25000 1.43875 mam 285.70000 7.96932 son
36020000 1.51999 3.39569 1.38103 2.23403 -0.59012 0.32830 0.00000 23.95000 1.50157 mam 289.40000 8.57481 son
36045000 1.62129 3.39287 1.36412 2.09270 -0.20255 0.33110 0.00000 23.15000 1.48875 mam 282.65000 7.85139 jja
36125000 1.97856 3.41128 1.75902 1.72412 -0.18891 0.34955 0.00000 24.85000 1.42816 mam 280.50000 7.65348 jja
36130000 2.13724 3.38995 1.78953 1.58613 -0.15969 0.34763 0.00000 24.75000 1.44737 mam 275.75000 7.33378 jja
36160000 1.77849 3.41455 1.51756 1.91992 -0.34589 0.33699 0.00000 23.55000 1.54934 mam 274.00000 7.61111 jja
36210000 2.71471 3.27278 2.12923 1.20557 -0.00656 0.33330 0.00000 25.35000 1.46957 mam 279.40000 6.73253 jja
36250000 2.23144 3.38640 1.78433 1.51759 0.16293 0.32550 0.00000 23.55000 1.44923 mam 271.45000 6.39458 jja
36290000 2.41216 3.42711 1.94665 1.42076 -0.08018 0.34022 0.00000 23.95000 1.43413 mam 264.95000 6.54198 jja
36320000 2.02799 3.45532 1.71319 1.70381 -0.29552 0.34417 0.00000 23.30000 1.53795 mam 264.70000 7.36300 son
36390000 2.02575 3.47331 1.70886 1.71458 -0.35854 0.34939 0.00000 23.65000 1.51603 mam 260.90000 7.29790 son
36580000 1.82561 3.54695 1.64810 1.94288 -0.76116 0.38475 0.00000 22.25000 1.45902 mam 274.20000 7.80085 son
37220000 2.41778 3.60114 1.89779 1.48944 -0.05980 0.32958 0.00000 25.10000 1.53049 mam 284.40000 7.20913 jja
37380000 2.23729 3.52150 1.88185 1.57401 0.25844 0.31157 0.00000 24.30000 1.65306 mam 269.95000 6.66543 son
37410000 2.27715 3.55154 1.88645 1.55964 0.13961 0.31465 0.00000 23.80000 1.60269 mam 268.25000 6.92258 son
37470000 2.18146 3.52758 1.79858 1.61708 0.09820 0.31797 0.00000 23.90000 1.64261 mam 268.35000 7.44383 son
37710150 1.94057 3.45729 1.64113 1.78158 -0.02854 0.31765 0.00000 24.40000 1.76812 mam 265.70000 8.12538 son
38650000 1.59507 3.35091 1.39380 2.10079 -0.07631 0.28490 0.00000 21.70000 1.41830 mam 286.90000 6.62587 son
38790000 2.73942 3.32041 1.93667 1.21208 -0.30224 0.28513 0.00000 18.70000 1.31690 mam 265.80000 5.09195 son
38830000 1.56729 3.28098 1.41420 2.09341 0.32759 0.22990 0.00000 23.20000 1.53642 mam 284.95000 6.80072 son
38860000 1.36145 3.25871 1.24103 2.39356 0.26095 0.25580 0.00000 23.40000 1.55482 mam 284.90000 7.54702 son
39084010 2.77274 3.33789 2.17111 1.20382 -0.44805 0.28305 0.00000 18.10000 1.22297 mam 272.65000 5.12982 son
39084020 2.99660 3.52279 2.28236 1.17559 -0.43833 0.28360 0.00000 16.80000 1.22182 mam 261.85000 4.68007 djf
39100000 1.59749 3.28283 1.31547 2.05499 0.06815 0.24977 0.00000 22.95000 1.37838 mam 288.90000 6.33553 son
39130000 1.64688 3.28778 1.30419 1.99637 0.01671 0.24977 0.00000 22.25000 1.37771 mam 283.95000 5.90333 son
39140000 1.75842 3.28390 1.42227 1.86753 -0.08690 0.27555 0.00000 22.35000 1.35455 mam 273.30000 5.26590 son
39145000 1.79917 3.28763 1.45167 1.82731 -0.12107 0.27555 0.00000 22.00000 1.34969 mam 269.25000 5.09943 son
39150000 1.84688 3.28820 1.52582 1.78041 -0.15164 0.27555 0.00000 21.10000 1.33123 mam 265.70000 4.90221 son
39170000 2.38530 3.32394 2.10666 1.39351 -0.39134 0.28380 0.00000 18.80000 1.22476 mam 288.25000 6.08765 son
39185000 1.98817 3.30142 1.67540 1.66053 -0.20556 0.27555 0.00000 20.75000 1.32588 mam 260.75000 4.67713 son
39187800 1.98817 3.30142 1.67540 1.66053 -0.20556 0.27555 0.00000 20.75000 1.32588 mam 260.75000 4.67713 son
39360000 1.85328 3.30687 1.39168 1.78433 -0.15817 0.26405 0.00000 20.15000 1.34333 mam 262.85000 4.84963 son
39480000 3.41303 3.36320 2.49030 0.98540 -0.41532 0.28275 0.00000 16.05000 1.21591 mam 261.25000 4.79358 son
39540000 1.83530 3.26149 1.42301 1.77709 -0.15530 0.29240 0.00000 22.05000 1.29326 mam 273.25000 5.17519 son
39560000 2.31747 3.28501 1.73810 1.41750 -0.31468 0.28920 0.00000 19.45000 1.30100 mam 254.85000 4.46713 son
39580000 3.27855 3.33277 2.61673 1.01654 -0.47430 0.28220 0.00000 16.15000 1.23282 mam 254.65000 4.58004 djf
39760000 2.61846 3.32397 2.26773 1.26944 -0.45644 0.29205 0.00000 18.05000 1.24483 mam 255.40000 4.54448 son
39770000 2.67343 3.36293 2.38153 1.25791 -0.46119 0.29205 0.00000 17.80000 1.26241 mam 252.40000 4.47518 son
39870000 2.74080 3.32438 2.19654 1.21292 -0.49096 0.30020 0.00000 17.05000 1.24908 jja 247.50000 4.60037 son
40025000 4.62156 2.91006 2.65276 0.62967 1.13270 0.09355 0.00000 21.15000 1.30556 djf 245.30000 5.66513 jja
40037000 4.56715 2.88266 2.63425 0.63117 1.12804 0.09355 0.00000 20.25000 1.31922 djf 235.70000 5.48778 jja
40040000 4.36021 2.88393 2.58974 0.66142 1.13694 0.09020 0.00000 20.25000 1.31494 djf 245.35000 5.62085 jja
40050000 4.33596 2.92438 2.62522 0.67445 1.12995 0.08775 0.00000 19.40000 1.31081 djf 226.70000 5.66042 jja
40053000 4.01728 2.91759 2.65186 0.72626 1.13738 0.08380 0.00000 22.65000 1.33235 djf 254.50000 5.73198 jja
40060001 4.34424 2.84769 2.65923 0.65551 1.13868 0.09040 0.00000 20.75000 1.32588 djf 242.60000 5.44557 jja
40100000 4.17681 2.92919 2.56630 0.70130 1.14350 0.08783 0.00000 18.30000 1.37594 djf 218.90000 5.60563 jja
40150000 4.05821 2.83117 2.66420 0.69764 1.17300 0.07920 0.00000 21.45000 1.30793 djf 240.40000 5.40225 jja
40170000 3.97574 2.91136 2.66357 0.73228 1.15845 0.07523 0.00000 21.40000 1.31288 djf 248.40000 5.48950 jja
40185000 3.98369 2.87475 2.65908 0.72163 1.16499 0.07523 0.00000 21.30000 1.31077 djf 244.50000 5.45759 jja
40330000 3.96022 2.89881 2.63119 0.73198 1.18671 0.08020 0.00000 20.65000 1.35855 djf 232.45000 5.59446 jja
40500000 3.80206 3.00185 2.46803 0.78953 1.18521 0.08400 0.00000 22.40000 1.44516 djf 252.80000 5.92732 jja
40549998 4.03638 2.76964 2.69529 0.68617 1.10884 0.04930 0.00000 22.35000 1.25562 djf 254.35000 5.65222 jja
40579995 3.97132 2.80254 2.77171 0.70569 1.12235 0.04930 0.00000 22.45000 1.26479 djf 252.60000 5.70847 jja
40680000 4.18833 2.77677 2.56386 0.66298 1.13879 0.06100 0.00000 23.70000 1.27763 djf 256.05000 5.60284 jja
40710000 4.06633 2.78033 2.64386 0.68374 1.12896 0.05515 0.00000 21.90000 1.27326 djf 241.10000 5.45475 jja
