gauge_id sand_perc silt_perc clay_perc org_carbon_content bedrock_depth water_table_depth
42100000 42.31760 19.79570 37.86880 8.61570 2825.10960 3061.29780
42187000 44.68570 17.83740 37.46520 8.98230 2752.15940 2195.92410
42210000 43.80490 17.49730 38.67490 15.48280 2627.28390 1952.42290
42250000 42.98530 17.51830 39.47290 11.86510 3091.64670 1757.63810
42255000 43.63080 18.17810 38.15190 8.09090 2746.68380 2359.25280
42257000 43.76080 17.90670 38.30630 9.42620 2905.31390 1798.72420
42290000 43.89930 18.18130 37.90460 12.94930 3005.15170 1331.62090
42395000 44.84460 17.66170 37.47870 12.60360 3005.79690 1242.82440
42440000 41.64810 18.51560 39.82240 9.54110 2816.50160 2095.53890
42490000 41.76400 17.49530 40.73350 10.38390 3705.81240 1896.07260
42540000 41.88370 17.87720 40.23140 10.21240 3602.99450 1846.08780
42546000 44.71450 18.26670 37.00320 8.13590 3475.52190 1680.59830
42690001 44.97900 18.05650 36.95250 10.68890 3199.63220 1122.56720
42750000 45.54060 17.95350 36.49440 11.16300 3183.05690 1143.01900
42840000 43.93970 14.93920 41.07920 15.56260 3143.67090 2204.01180
42930000 46.50670 17.57670 35.90570 11.52560 3134.58470 1203.94680
43200000 44.94910 17.46740 37.56460 14.12650 2781.43610 1708.09360
43300000 46.35670 16.82140 36.81510 9.59480 3653.70440 2099.04440
43670000 48.08780 17.67050 34.23690 10.89310 3352.20110 1476.69000
43675000 48.11350 16.77660 35.09910 11.66010 3505.72530 1721.83060
43880000 48.96220 17.45490 33.57860 10.73400 3340.36530 1421.67030
44200000 45.76410 17.43970 36.77950 13.47060 2867.58700 1634.45430
44250000 58.12140 14.37940 27.49900 8.78330 3066.85140 2146.73400
44290002 46.22000 17.37870 36.38540 13.18960 2878.35400 1630.66700
44500000 46.35040 17.38610 36.24800 12.98100 2890.11250 1616.76540
44540000 48.37580 18.10320 33.52470 8.32080 2387.42680 2408.49130
44670000 44.78380 18.40400 36.79970 8.88620 2877.90090 1492.80720
45131000 55.34660 15.23310 29.43650 9.30540 3304.59090 1708.92850
45170001 57.28490 14.65160 28.07340 9.62070 3178.00020 1631.73730
45210000 56.02800 15.09080 28.89350 9.39030 3191.05350 1704.57000
45220000 56.97000 14.14640 28.89330 9.63550 3063.38660 2168.36430
45260000 55.32770 15.33090 29.35110 9.34500 3115.11690 1764.56550
45298000 47.12170 17.38010 35.48550 12.02800 2928.69410 1572.69950
45480000 47.19980 17.52400 35.26440 11.80510 2943.43630 1490.76760
45590000 55.96100 14.15750 29.87040 11.73500 3272.37470 795.64880
45770000 55.29200 15.02840 29.67670 11.80540 3182.64570 800.87510
45840000 56.28690 14.61370 29.11030 11.42060 3100.13780 1271.43090
45880000 55.12740 15.22880 29.64990 11.34410 2952.11650 1468.93840
45910001 55.29840 14.85070 29.84260 11.17690 3074.54080 1182.09870
45960001 54.74180 15.12570 30.12400 11.05070 3038.55720 1212.36930
46035000 47.92270 17.33470 34.73090 11.64660 2956.77640 1431.44260
