gauge_id gauge_name gauge_region gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
15440000 sao_carlos amazon -9.70000 -63.13330 nan 9816.65400 high
15445000 ponte_do_rio_preto_do_crespo amazon -9.55580 -62.95080 1110.00000 1125.81700 high
15450000 sao_pedro amazon -8.98360 -63.27720 nan 14254.04000 high
15460000 cach_do_samuel amazon -8.75000 -63.46670 nan 15416.98000 high
15460008 cach_do_samuel_jus_3.conj amazon -8.75000 -63.46670 nan 15416.98000 high
15460012 cachoeira_do_samuel_17-f amazon -8.74890 -63.50720 nan 15604.06000 high
15470000 ponte_da_br-364 amazon -8.77470 -63.48750 nan 153.70590 low
15490000 prosperidade_(ex._foz_do_jamari) amazon -8.45220 -63.51780 977000.00000 nan nan
15490400 uhe_santo_antonio_sao_carlos amazon -8.44440 -63.50810 1017245.00000 nan nan
15490500 buritis amazon -10.28060 -63.73080 1830.00000 nan nan
15500000 santa_barbara amazon -9.18330 -63.78330 nan 7316.64600 high
15550000 santa_isabel amazon -8.79860 -63.71060 12700.00000 12376.43000 high
15552300 barao_do_melgaco amazon -11.85000 -60.71670 nan 3869.01500 high
15552600 fazenda_flor_do_campo amazon -11.74890 -60.86780 4360.00000 4361.52400 high
15552700 ponte_comemoracao_(pimenta_bueno) amazon -11.67030 -61.18110 nan 6145.91900 medium
15553500 fazenda_expansao amazon -12.48780 -61.04640 nan 3563.76900 high
15556000 cachoeira_primavera_-_montante amazon -11.90110 -61.23940 nan 9584.32400 high
15556010 pch_primavera_jusante amazon -11.90110 -61.23940 nan 9584.32400 high
15558000 pimenta_bueno amazon -11.68360 -61.19220 10100.00000 10077.19000 high
15558200 cacoal amazon -11.44440 -61.44080 17900.00000 nan nan
15558500 fazenda_apuru amazon -11.00170 -62.11720 3600.00000 nan nan
15558700 espigao_do_oeste amazon -11.57250 -61.05110 277.00000 nan nan
15559000 sitio_bela_vista amazon -11.65250 -61.21500 16100.00000 16280.33000 high
15560000 ji-parana amazon -10.87360 -61.93560 32800.00000 32964.42000 high
15562000 ouro_preto_do_oeste amazon -10.77110 -62.25720 242.00000 nan nan
15564000 jaruaru amazon -10.83170 -62.89250 133.00000 nan nan
15565000 jaru amazon -10.44580 -62.46560 3960.00000 3973.83400 high
15571000 sao_mateus amazon -9.86670 -61.93330 nan 47221.63000 high
15571100 fabio_barragem_(ex_-jp-14_) amazon -9.74310 -61.88170 nan 48752.50000 high
15571500 buenos_aires amazon -9.25000 -61.66670 nan 52187.32000 high
15572000 uniao amazon -9.73330 -62.23330 nan 2090.15100 high
15575000 piratininga amazon -9.34720 -61.93470 4650.00000 4610.12800 high
15580000 tabajara amazon -8.93220 -62.05560 60200.00000 60526.47000 high
15590000 mineracao_jacunda amazon -9.17890 -62.95220 1200.00000 1055.13000 low
15629000 uhe_santo_antonio_humaita amazon -7.50530 -63.02110 1090000.00000 nan nan
15630000 humaita amazon -7.50280 -63.01830 1090000.00000 1111990.00000 high
15650000 maloca_tenharim amazon -7.95780 -62.04250 3630.00000 3835.09200 medium
15660000 maici-mirim amazon -7.63030 -62.65530 735.00000 883.38670 low
15670000 nova_esperanca amazon -6.35920 -61.76610 26300.00000 26620.33000 high
15680000 fazenda_bela_vista amazon -7.85330 -61.33390 1530.00000 1481.83900 high
15700000 manicore amazon -5.81670 -61.30190 1150000.00000 1173701.00000 high
15750000 humboldt amazon -10.16940 -59.46610 15200.00000 15312.66000 high
15790000 bom_destino amazon -8.37470 -59.77170 nan 40401.92000 high
15795000 leontino amazon -7.73940 -60.57610 16200.00000 16247.67000 high
15800000 boca_do_guariba amazon -7.70580 -60.57830 70100.00000 70460.28000 high
15820000 concisa amazon -9.81690 -60.69190 nan 24464.31000 high
15825000 mineracao_sao_francisco amazon -9.24810 -61.38830 nan 6097.98900 high
15828000 fazenda_boa_lembranca amazon -7.59280 -60.70940 59500.00000 59734.83000 high
