year month day simulated_streamflow_m3s
1998 02 05 16932.8359
1998 02 06 16187.7100
1998 02 07 15402.1006
1998 02 08 14677.6895
1998 02 09 14090.1055
1998 02 10 13688.9238
1998 02 11 13420.7871
1998 02 12 13215.2754
1998 02 13 13094.1113
1998 02 14 13108.7246
1998 02 15 13336.6172
1998 02 16 13772.3994
1998 02 17 14464.1396
1998 02 18 15190.0264
1998 02 19 15926.4561
1998 02 20 17093.3535
1998 02 21 18570.4434
1998 02 22 20189.0723
1998 02 23 21304.6660
1998 02 24 21553.4570
1998 02 25 21513.1328
1998 02 26 21563.1738
1998 02 27 21689.3086
1998 02 28 21747.4902
1998 03 01 21438.6973
1998 03 02 20932.6094
1998 03 03 20445.8223
1998 03 04 20213.6621
1998 03 05 20399.6016
1998 03 06 20931.7090
1998 03 07 21355.2422
1998 03 08 21440.6328
1998 03 09 21436.8125
1998 03 10 21625.9941
1998 03 11 21601.7773
1998 03 12 21492.6348
1998 03 13 21198.6250
1998 03 14 20702.6543
1998 03 15 20174.7324
1998 03 16 19920.7520
1998 03 17 20171.7617
1998 03 18 20569.3730
1998 03 19 20634.9902
1998 03 20 20674.5254
1998 03 21 20613.7598
1998 03 22 20347.4785
1998 03 23 20050.2324
1998 03 24 19812.1914
1998 03 25 19662.9805
1998 03 26 19667.3281
1998 03 27 19736.2207
1998 03 28 19613.4961
1998 03 29 19385.9219
1998 03 30 19187.9883
1998 03 31 18842.0742
1998 04 01 18341.0430
1998 04 02 18004.5488
1998 04 03 17631.4062
1998 04 04 17195.0254
1998 04 05 16882.1602
1998 04 06 16481.8477
1998 04 07 15988.0752
1998 04 08 15457.3926
1998 04 09 14979.2646
1998 04 10 14522.4707
1998 04 11 14121.2051
1998 04 12 13877.1982
1998 04 13 13742.7061
1998 04 14 13655.5752
1998 04 15 13586.3691
1998 04 16 13468.6777
1998 04 17 13271.5107
1998 04 18 13037.5010
1998 04 19 12777.4551
1998 04 20 12525.3555
1998 04 21 12297.3301
1998 04 22 12099.8506
1998 04 23 11845.7920
1998 04 24 11614.0693
1998 04 25 11392.5283
1998 04 26 11122.3018
1998 04 27 10847.5088
1998 04 28 10670.3770
1998 04 29 10548.7881
1998 04 30 10379.8994
1998 05 01 10221.5117
1998 05 02 10205.9648
1998 05 03 10328.8037
1998 05 04 10517.9727
1998 05 05 10869.8262
1998 05 06 11213.4893
1998 05 07 11395.5156
1998 05 08 11496.5830
1998 05 09 11344.5088
1998 05 10 11076.9678
1998 05 11 10787.4014
1998 05 12 10480.9287
1998 05 13 10162.9678
1998 05 14 9845.8750
1998 05 15 9559.5791
1998 05 16 9285.9219
1998 05 17 9009.0312
1998 05 18 8770.2822
1998 05 19 8548.8662
1998 05 20 8322.9180
1998 05 21 8112.9878
1998 05 22 8002.1099
1998 05 23 7859.3115
1998 05 24 7676.8623
1998 05 25 7493.2891
1998 05 26 7321.8350
1998 05 27 7165.0947
1998 05 28 7022.6426
1998 05 29 6894.1616
1998 05 30 6778.2842
1998 05 31 6679.7866
1998 06 01 6632.0474
1998 06 02 6590.4253
1998 06 03 6554.7812
1998 06 04 6520.0586
1998 06 05 6455.6372
1998 06 06 6366.8364
1998 06 07 6273.7744
1998 06 08 6187.6533
1998 06 09 6110.6484
1998 06 10 6042.4575
1998 06 11 5980.9146
1998 06 12 5932.2485
1998 06 13 5898.3511
1998 06 14 5863.4854
1998 06 15 5811.8306
1998 06 16 5755.3706
1998 06 17 5698.7031
1998 06 18 5641.3618
1998 06 19 5583.5688
1998 06 20 5522.9390
1998 06 21 5461.3184
1998 06 22 5400.6377
1998 06 23 5341.2300
1998 06 24 5282.7856
1998 06 25 5224.8760
1998 06 26 5166.9717
1998 06 27 5111.4463
1998 06 28 5057.4644
1998 06 29 5005.5591
1998 06 30 4956.2451
1998 07 01 4909.1880
1998 07 02 4863.9521
1998 07 03 4820.3062
1998 07 04 4777.5972
1998 07 05 4735.7749
1998 07 06 4694.9282
1998 07 07 4654.7949
1998 07 08 4617.7559
1998 07 09 4581.3271
1998 07 10 4551.8228
1998 07 11 4535.3369
1998 07 12 4524.1523
1998 07 13 4542.4985
1998 07 14 4551.3989
1998 07 15 4533.6323
1998 07 16 4484.1274
1998 07 17 4425.5815
1998 07 18 4368.2358
1998 07 19 4316.2471
1998 07 20 4267.2358
1998 07 21 4220.6084
1998 07 22 4176.0825
1998 07 23 4134.0337
1998 07 24 4094.0859
1998 07 25 4056.1594
1998 07 26 4019.9177
1998 07 27 3985.0630
1998 07 28 3951.4128
1998 07 29 3918.8804
1998 07 30 3887.7275
1998 07 31 3857.4050
1998 08 01 3826.8193
1998 08 02 3798.6042
1998 08 03 3771.3643
1998 08 04 3743.4324
1998 08 05 3715.0874
1998 08 06 3686.8254
1998 08 07 3658.5823
1998 08 08 3633.0901
1998 08 09 3605.7170
1998 08 10 3578.7290
1998 08 11 3550.6050
1998 08 12 3525.0574
1998 08 13 3498.7610
1998 08 14 3472.0796
1998 08 15 3454.1924
1998 08 16 3434.6355
1998 08 17 3409.5237
1998 08 18 3380.7166
1998 08 19 3350.8933
1998 08 20 3321.5562
1998 08 21 3293.4231
1998 08 22 3266.9993
1998 08 23 3242.4011
1998 08 24 3220.0115
1998 08 25 3199.4019
1998 08 26 3180.1028
1998 08 27 3161.6575
1998 08 28 3143.5669
1998 08 29 3129.7932
1998 08 30 3118.0266
1998 08 31 3103.4810
1998 09 01 3085.7214
1998 09 02 3063.1726
1998 09 03 3037.7852
1998 09 04 3010.7732
1998 09 05 2983.8650
1998 09 06 2958.3420
1998 09 07 2933.5649
1998 09 08 2922.3262
1998 09 09 2910.0583
1998 09 10 2885.7759
1998 09 11 2857.2637
1998 09 12 2828.1655
1998 09 13 2800.6313
1998 09 14 2775.9392
1998 09 15 2753.6538
1998 09 16 2732.5208
1998 09 17 2716.8298
1998 09 18 2704.3418
1998 09 19 2685.3679
1998 09 20 2662.8289
1998 09 21 2645.8779
1998 09 22 2685.1553
1998 09 23 2759.9395
1998 09 24 2813.8401
1998 09 25 2824.2551
1998 09 26 2814.4021
1998 09 27 2792.8323
1998 09 28 2770.6101
1998 09 29 2753.0623
1998 09 30 2737.3813
1998 10 01 2714.3406
1998 10 02 2690.2393
1998 10 03 2667.6252
1998 10 04 2647.0818
1998 10 05 2620.6079
1998 10 06 2586.5815
1998 10 07 2549.9348
1998 10 08 2516.0090
1998 10 09 2488.8257
1998 10 10 2477.3923
1998 10 11 2482.0996
1998 10 12 2508.3770
1998 10 13 2633.9463
1998 10 14 2840.6904
1998 10 15 2956.0518
1998 10 16 3016.0791
1998 10 17 3065.9473
1998 10 18 3136.3967
1998 10 19 3228.3125
1998 10 20 3301.6731
1998 10 21 3346.9290
1998 10 22 3388.7683
1998 10 23 3450.6936
1998 10 24 3551.0466
1998 10 25 3690.3950
1998 10 26 3817.0303
1998 10 27 3917.8718
1998 10 28 3969.0488
1998 10 29 4006.3276
1998 10 30 4059.7236
1998 10 31 4132.3159
1998 11 01 4181.6411
1998 11 02 4201.4912
1998 11 03 4247.9590
1998 11 04 4265.5278
1998 11 05 4293.7612
1998 11 06 4333.3945
1998 11 07 4380.6665
1998 11 08 4498.5659
1998 11 09 4736.9844
1998 11 10 5097.8140
1998 11 11 5444.5088
1998 11 12 5757.9980
1998 11 13 6027.6733
1998 11 14 6297.3071
1998 11 15 6594.7466
1998 11 16 6857.6548
1998 11 17 7028.8188
1998 11 18 7192.7646
1998 11 19 7377.9639
1998 11 20 7606.6797
1998 11 21 7895.0752
1998 11 22 8154.2192
1998 11 23 8415.4678
1998 11 24 8778.2725
1998 11 25 9155.7266
1998 11 26 9474.1104
1998 11 27 9919.5596
1998 11 28 10369.5244
1998 11 29 10606.2070
1998 11 30 10725.0537
1998 12 01 10724.9727
1998 12 02 10719.3066
1998 12 03 10646.5293
1998 12 04 10658.5879
1998 12 05 10717.3037
1998 12 06 10640.6982
1998 12 07 10493.7871
1998 12 08 10484.0361
1998 12 09 10623.9180
1998 12 10 10926.8047
1998 12 11 11413.3184
1998 12 12 11988.2764
1998 12 13 12475.6543
1998 12 14 12814.7373
1998 12 15 12889.5254
1998 12 16 12772.5039
1998 12 17 12521.0654
1998 12 18 12281.4219
1998 12 19 12237.5879
1998 12 20 12529.0410
1998 12 21 12987.8369
1998 12 22 13720.8604
1998 12 23 14867.2500
1998 12 24 15809.1553
1998 12 25 16319.7451
1998 12 26 16413.0273
1998 12 27 16250.9180
1998 12 28 15920.3955
1998 12 29 15574.9570
1998 12 30 15071.1279
1998 12 31 14494.2363
1999 01 01 13977.3555
1999 01 02 13767.2129
1999 01 03 13766.6553
1999 01 04 13868.8340
1999 01 05 14700.3105
1999 01 06 15711.2949
1999 01 07 16378.8057
1999 01 08 16909.1562
1999 01 09 17533.9141
1999 01 10 18103.6172
1999 01 11 18256.2832
1999 01 12 18192.5000
1999 01 13 18138.2773
1999 01 14 18766.0918
1999 01 15 19589.9844
1999 01 16 20496.4629
1999 01 17 21355.9805
1999 01 18 22067.0000
1999 01 19 22609.0684
1999 01 20 22853.6445
1999 01 21 22547.4902
1999 01 22 22052.1348
1999 01 23 21399.1309
1999 01 24 20725.5879
1999 01 25 20199.5293
1999 01 26 19803.3750
1999 01 27 19376.6055
1999 01 28 18779.6152
1999 01 29 18181.7578
1999 01 30 17809.0918
1999 01 31 17726.9902
1999 02 01 17724.8359
1999 02 02 17810.6660
1999 02 03 17900.4004
1999 02 04 18201.3633
1999 02 05 18581.5176
1999 02 06 18774.7188
1999 02 07 18718.1367
1999 02 08 18325.3262
1999 02 09 17795.4980
1999 02 10 17273.8828
1999 02 11 16713.0840
1999 02 12 16151.9941
1999 02 13 15531.6738
1999 02 14 14999.0605
1999 02 15 14673.6445
1999 02 16 14439.2109
1999 02 17 14276.3486
1999 02 18 14283.3037
1999 02 19 14390.0615
1999 02 20 14494.7812
1999 02 21 14487.7617
1999 02 22 14586.5811
1999 02 23 15008.7871
1999 02 24 15629.1807
1999 02 25 16023.3662
1999 02 26 16380.8457
1999 02 27 16699.5566
1999 02 28 17141.0117
1999 03 01 17995.5098
1999 03 02 19601.1211
1999 03 03 20681.3125
1999 03 04 21234.7109
1999 03 05 21752.9824
1999 03 06 22784.7578
1999 03 07 23547.2441
1999 03 08 23966.9785
